featName
PD-L1
INR
TT
APTT
PT
FIB
TBA
UREA
UA
ALT
Cr
T-CHO
TG
AST
CK
LDH
GLOB
K
IBIL
ALB
Na
Cl
Ca
GLU
TP
TBIL
DBIL
CEA
NSE
WBC
RBC
Hb
HCT
MCHC
MCH
MCV
PLT
MPV
PCT
LYMPH%
MONO%
EOSIN%
BASO%
NEUT%
NEUT
LYMPH
MONO
EOSIN
BASO
PDW
RDW-CV
RDW-SD
PLR
NLR
MLR
PIV
PAR
SII
SIRI
PNI
